Electron_projectile_energy, keV	cross_section, barn
11759.010050251256	4.00407149838919E-28
11834.38190954774	2.89373665770541E-28
11909.75376884422	2.18849442712944E-29
11985.125628140704	5.63335046174642E-28
12060.497487437186	4.74567345595043E-28
12135.869346733669	2.30845521001177E-28
12211.24120603015	1.04319626447612E-29
12286.613065326634	4.50728618886482E-29
12361.984924623115	6.30370440783928E-29
12437.356783919598	2.21162344725258E-28
12512.72864321608	2.23020584139762E-28
12588.100502512563	1.12204224934417E-28
12663.472361809045	4.63821748588626E-29
12738.844221105528	1.69471414509779E-28
12814.21608040201	3.99782923457016E-28
12889.587939698493	1.07595310959775E-28
12964.959798994974	7.54462471396493E-30
13040.331658291458	1.59020406433974E-28
13115.70351758794	1.37688635331946E-28
13191.075376884422	3.25087934733349E-28
13266.447236180904	3.00782494979334E-29
